Sample File	Sample Name	Well	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Allele 8	Allele 9	Allele 10	Allele 11	Allele 12	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	Height 8	Height 9	Height 10	Height 11	Height 12	Size 1	Size 2	Size 3	Size 4	Size 5	Size 6	Size 7	Size 8	Size 9	Size 10	Size 11	Size 12	Peak Area 1	Peak Area 2	Peak Area 3	Peak Area 4	Peak Area 5	Peak Area 6	Peak Area 7	Peak Area 8	Peak Area 9	Peak Area 10	Peak Area 11	Peak Area 12	Data Point 1	Data Point 2	Data Point 3	Data Point 4	Data Point 5	Data Point 6	Data Point 7	Data Point 8	Data Point 9	Data Point 10	Data Point 11	Data Point 12	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	CC	OVL	XTLK	GQ	CV
frag_003_B07.fsa	FCR11	05-10D	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA28	G	164	174	176										173	243	119										163.54	173.94	175.88										1599	2229	1034										3143	3303	3333										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1976	
frag_008_D02.fsa	FCR12	05-10E	Run_MAJSEQUENCER_2010-02-17_10-31_5959	RUB1	RhCBA28	G	164	174	176										410	590	296										163.63	174.06	176.12										4258	6208	2926										3432	3588	3619										FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.9914	
frag_001_A03.fsa	FCR13	05-10F	Run_MAJSEQUENCER_2010-02-24_11-41_5971	RUB1	RhCBA28	G	164	174	176										997	1303	691										163.52	174.03	176.04										9913	13247	6388										3453	3609	3639										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1991	
frag_009_E07.fsa	FCR14	05-10G	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA28	G	164	174	176										241	320	157										163.56	173.94	176.02										2182	3006	1295										3156	3315	3347										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1979	
frag_016_H10.fsa	FCR15	05-10H	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	182												439												182.25												3818												3661												FALSE	FALSE	FALSE	0	0	0	0	0	0	-2	0	0	0	0	-2	-2	0	1	
frag_013_G07.fsa	FCR16	05-11A	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA28	G	152	174	184										605	169	329										151.23	173.95	184.22										5341	1523	2868										3013	3351	3510										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1979	
frag_003_B11.fsa	FCR17	05-11B	Run_MAJSEQUENCER_2009-11-19_17-39_5863	RUB1	RhCBA28	G	164	174	176										109	145	73										163.86	174.36	176.43										1115	1589	775										3551	3707	3738										FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.981	
frag_002_A08.fsa	FCR18	05-11C	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA28	G	164	174	176										464	519	261										163.56	173.95	176.03										4084	4739	2164										3128	3287	3319										FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D11.fsa	FCR19	05-11D	Run_MAJSEQUENCER_2009-11-19_17-39_5863	RUB1	RhCBA28	G	163	174	176										151	198	99										163.45	173.87	175.94										1514	1980	960										3445	3600	3631										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1995	
frag_006_C08.fsa	FCR20	05-11E	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA28	G	164	174	176										384	455	224										163.53	173.96	175.95										3512	4181	1886										3173	3334	3365										FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
